web-scraper-order,web-scraper-start-url,type_habits,prix,adresse,img_link-src
"1739371602-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble fille","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_760599_uploaded_image1_1563527651.42.png"
"1739371602-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe avec petite traîne","12 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_760597_uploaded_image1_1563527596.64.png"
"1739371602-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_760595_uploaded_image1_1563527531.24.png"
"1739371602-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Joggings filles","3 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_760586_uploaded_image1_1563527322.48.png"
"1739371602-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes toute mimi pour enfants","10 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_1011525_uploaded_image1_1569956572.46.jpg"
"1739371602-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe brodée enfant","12 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_1011523_uploaded_image1_1569956567.47.jpg"
"1739371602-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Jolies robes en wax","8 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_1011524_uploaded_image1_1569956569.73.jpg"
"1739371602-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_752448_uploaded_image1_1563350256.56.png"
"1739371602-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Blouson enfant","18 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_752408_uploaded_image1_1563349196.32.png"
"1739371602-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Grenouillère - Ensemble Femme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_740349_uploaded_image1_1562956490.71.png"
"1739371602-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe pour enfant","35 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_739801_uploaded_image1_1562946241.61.png"
"1739371602-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Couches et vêtements enfants","8 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_735868_uploaded_image1_1562861740.96.png"
"1739371602-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_735207_uploaded_image1_1562852018.04.png"
"1739371602-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Abaya enfant 2 ans - 5 ans","18 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_727626_uploaded_image1_1562678215.71.png"
"1739371602-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Abaya enfant Spéciale Tabaski","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_725848_uploaded_image1_1562624169.32.png"
"1739371602-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724146_uploaded_image1_1562589336.01.png"
"1739371602-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724143_uploaded_image1_1562589274.19.png"
"1739371602-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724138_uploaded_image1_1562589114.05.png"
"1739371602-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724135_uploaded_image1_1562589070.16.png"
"1739371602-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724130_uploaded_image1_1562588990.25.png"
